lc_code,inst,faculty,dept
30100402,"Universitas Sriwijaya","Fakultas Program Studi S1 Pendidikan Fisika Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam Fakultas Keguruan dan Ilmu Pendidikan","Fakultas Program Studi S1 Pendidikan Fisika Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam Fakultas Keguruan dan Ilmu Pendidikan"
30100406,"Politeknik Negeri Pontianak","Jurusan Teknik Elektro","D4 Teknologi Rekayasa Sistem Elektronika"
30100408,"Politeknik Perikanan Negeri Tual","Jurusan Teknologi Perikanan","Program Studi D4 Manajemen Rekayasa Budidaya Laut"
30100410,"Universitas Pattimura","Fakultas Sosiologi Fakultas Ilmu Sosial dan Ilmu Politik Universitas Pattimura","Prodi S1 Sosiologi Jurusan 1"
30100411,"Universitas Sam Ratulangi","Fakultas Ilmu Sosial dan Ilmu Politik","Program Studi S1 Ilmu 3"
30100413,"Universitas Sriwijaya","Fakultas Kedokteran","Program Studi Sp-1 Rehabilitasi Medik Bagian Rehabilitasi Medik Fakultas 10"
30100414,"Universitas Jember","Fakultas Keguruan dan Ilmu Pendidikan","Program Studi Sarjana (S1) 2"
30100415,"Universitas Jember","Fakultas Keguruan dan Ilmu Pendidikan","Jurusan Pendidikan Bahasa dan Seni"
30100419,"Politeknik Negeri Samarinda","Jurusan Teknik Sipil","D4 Rekayasa Jalan Dan Jembatan Jurusan Teknik Sipil"
30100420,"Universitas Sriwijaya","Fakultas Sekolah Dasar Jurusan Ilmu Pendidikan Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 Pendidikan Guru 1"
30100422,"Universitas Sembilanbelas Prodi S1 Agroteknologi Fakultas Pertanian Perikanan dan Peternakan","Fakultas Pertanian Perikanan dan Peternakan","Universitas Sembilanbelas Prodi S1 Agroteknologi Fakultas Pertanian Perikanan dan Peternakan"
30100426,"Universitas Riau","Fakultas Informasi Jurusan Ilmu Komputer","Prodi S1 Sistem 4"
30100427,"Politeknik Negeri Indramayu","Bagian Perencanaan Keuangan dan Umum",NULL
30100431,"Universitas Riau","Fakultas Pendidikan Sejarah Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 1"
30100436,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Studi S1 Pendidikan Matematika Jurusan Matematika"
30100437,"Politeknik Negeri Fakfak","Bagian Perencanaan Keuangan dan Umum","Subbagian Umum"
30100439,"Politeknik Negeri Media Kreatif","Jurusan Penerbitan","Program Studi D3 Periklanan"
30100441,"Universitas Manado","Fakultas Ilmu Sosial dan Hukum","Prodi S1 2"
30100444,"Universitas Mulawarman","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S2 2"
30100445,"Politeknik Negeri Media Kreatif","Jurusan Desain Grafis","Program Studi D4 Teknologi Rekayasa Multimedia-Jurusan Desain"
30100453,"Politeknik Negeri Cilacap","Jurusan Komputer dan Bisnis","Program Studi Akuntansi Lembaga Keuangan Syariah"
30100458,"Politeknik Perkapalan Negeri Surabaya","Jurusan Teknik Permesinan Kapal","D-IV Teknik Perpipaan"
30100467,"Politeknik Pertanian Negeri Kupang","Jurusan Perikanan dan Kelautan",D3
30100469,"Universitas Pattimura","Fakultas Matematika Fakultas Sains dan Teknologi Universitas Pattimura","Prodi S1 Matematika Jurusan 1"
30100474,"Institut Seni Indonesia Padang","Fakultas Seni Pertunjukan","Program Studi S1 Pendidikan Vokasional Tata Rias 3"
30100475,"Universitas Samudra","Fakultas Pendidikan Guru Sekolah Dasar Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 18"
30100476,"Universitas Manado","Fakultas Bahasa dan Seni","Prodi S1 Pendidikan Bahasa Jepang 6"
30100481,"Universitas Jambi","Fakultas dan Ilmu Kesehatan","Prodi S1 Psikologi Fakultas Kedokteran 2"
30100481,"Universitas Jambi","Fakultas dan Ilmu Kesehatan","Prodi S1 Psikologi Fakultas Kedokteran 3"
30100482,"Politeknik Negeri Banyuwangi","Jurusan Pertanian","D4 Pengembangan Produk Agroindustri Jurusan Pertanian"
30100483,"Politeknik Negeri Malang","Jurusan Teknologi Informasi","D4 Teknik Informatika Jurusan Teknologi Informasi"
30100484,"Universitas Jambi","Fakultas Teknologi","Prodi S1 Kimia Fakultas Sains dan 1"
30100484,"Universitas Jambi","Fakultas Teknologi","Prodi S1 Kimia Fakultas Sains dan 3"
30100488,"Politeknik Negeri Fakfak","Jurusan Teknik Sipil","Program Studi D3 Teknik Sipil Jurusan Teknik Sipil"
30100489,"Universitas Sriwijaya","Fakultas Matematika Ketua Jurusan Matematika Fakultas Matematika dan Ilmu Pengetahuan Alam Jurusan","Program Studi S1 3"
30100491,"Politeknik Negeri Lampung","Jurusan Budidaya Tanaman Pangan","Program Studi S1 Tr. Teknologi Perbenihan"
30100494,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ilmu Komputer","Program Studi S-1 Sistem 1"
30100494,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ilmu Komputer","Program Studi S-1 Sistem 2"
30100495,"Politeknik Perkapalan Negeri Surabaya","Jurusan Teknik Bangunan Kapal","D-III Teknik Bangunan Kapal"
30100498,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Teknologi Mineral dan Energi","Program Studi S2 Manajemen Bencana Jurusan Teknik Lingkungan"
30100499,"Universitas Sultan Ageng","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi S2 Ilmu 2"
30100500,"Universitas Pattimura","Fakultas Fakultas Sains dan Teknologi Universitas Pattimura","Prodi S1 Sains Biomedis Jurusan Biologi 1"
30100501,"Universitas Palangka Raya","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1"
30100502,"Politeknik Negeri Padang","Jurusan Teknologi Informasi","D3 Manajemen Informatika (PSDKU Pelalawan) Jurusan Teknologi Informasi"
30100503,"Politeknik Negeri Sriwijaya","Jurusan Teknik Mesin","D3 Teknik Mesin Jurusan Teknik Mesin"
30100507,"Politeknik Negeri Pontianak","Jurusan Administrasi Bisnis","D4 Administrasi Negara"
30100513,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Ekonomi dan Bisnis","Program Studi S2 1"
30100514,"Universitas Lampung","Fakultas Jurusan Ilmu Pendidikan","Prodi S1 Pendidikan Jasmani 2"
30100515,"Politeknik Negeri Bandung","Jurusan Teknik Sipil","D3 Teknik Konstruksi Gedung Jurusan Teknik Sipil"
30100517,"Politeknik Negeri Padang","Jurusan Teknik Mesin",NULL
30100518,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Hukum","Program Studi S-1 Hukum Jurusan Hukum Fakultas 10"
30100519,"Politeknik Negeri Jakarta","Jurusan Teknik Informatika dan Komputer","D4 Teknik Multimedia Digital"
