loc_code,data1,data2,data3,data4,data5,data6
30102611,NULL,NULL,"Universitas Pattimura","Fakultas Ekonomi dan Bisnis","Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Pattimura",NULL
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102612,NULL,NULL,"Universitas Lampung","Fakultas Kedokteran","Jurusan Kedokteran Fakultas Kedokteran","Prodi Profesi Dokter Jurusan Kedokteran"
30102613,NULL,NULL,"UNIVERSITAS LAMBUNG MANGKURAT","FAKULTAS KEHUTANAN","Prodi S1","Kehutanan Fakultas Kehutanan"
30102613,NULL,NULL,"UNIVERSITAS LAMBUNG MANGKURAT","FAKULTAS KEHUTANAN","Prodi S1","Kehutanan Fakultas Kehutanan"
30102613,NULL,NULL,"UNIVERSITAS LAMBUNG MANGKURAT","FAKULTAS KEHUTANAN","Prodi S1","Kehutanan Fakultas Kehutanan"
30102613,NULL,NULL,"UNIVERSITAS LAMBUNG MANGKURAT","FAKULTAS KEHUTANAN","Prodi S1","Kehutanan Fakultas Kehutanan"
30102614,NULL,NULL,"Politeknik Negeri Cilacap","Jurusan Rekayasa Mesin dan Industri Pertanian","Program Studi Teknik Mesin",NULL
30102614,NULL,NULL,"Politeknik Negeri Cilacap","Jurusan Rekayasa Mesin dan Industri Pertanian","Program Studi Teknik Mesin",NULL
30102614,NULL,NULL,"Politeknik Negeri Cilacap","Jurusan Rekayasa Mesin dan Industri Pertanian","Program Studi Teknik Mesin",NULL
30102614,NULL,NULL,"Politeknik Negeri Cilacap","Jurusan Rekayasa Mesin dan Industri Pertanian","Program Studi Teknik Mesin",NULL
30102614,NULL,NULL,"Politeknik Negeri Cilacap","Jurusan Rekayasa Mesin dan Industri Pertanian","Program Studi Teknik Mesin",NULL
30102614,NULL,NULL,"Politeknik Negeri Cilacap","Jurusan Rekayasa Mesin dan Industri Pertanian","Program Studi Teknik Mesin",NULL
30102617,NULL,NULL,"Politeknik Negeri Jakarta","Jurusan Teknik Elektro","D3 Teknik Listrik","Jurusan Teknik Elektro"
30102617,NULL,NULL,"Politeknik Negeri Jakarta","Jurusan Teknik Elektro","D3 Teknik Listrik","Jurusan Teknik Elektro"
30102618,NULL,NULL,"Institut Seni Indonesia Yogyakarta","Fakultas Seni Pertunjukan","Jurusan Musik Fakultas Seni Pertunjukan","Prodi S1 Musik Jurusan Musik"
30102618,NULL,NULL,"Institut Seni Indonesia Yogyakarta","Fakultas Seni Pertunjukan","Jurusan Musik Fakultas Seni Pertunjukan","Prodi S1 Musik Jurusan Musik"
30102618,NULL,NULL,"Institut Seni Indonesia Yogyakarta","Fakultas Seni Pertunjukan","Jurusan Musik Fakultas Seni Pertunjukan","Prodi S1 Musik Jurusan Musik"
30102618,NULL,NULL,"Institut Seni Indonesia Yogyakarta","Fakultas Seni Pertunjukan","Jurusan Musik Fakultas Seni Pertunjukan","Prodi S1 Musik Jurusan Musik"
30102619,Tirtayasa,"Fakultas Ekonomi dan Bisnis","Jurusan Ekonomi Pembangunan Fakultas Ekonomi dan Bisnis","Jurusan S1 Ekonomi 2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Sultan Ageng Pembangunan Fakultas Ekonomi dan Bisnis"
30102619,Tirtayasa,"Fakultas Ekonomi dan Bisnis","Jurusan Ekonomi Pembangunan Fakultas Ekonomi dan Bisnis","Jurusan S1 Ekonomi 2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Sultan Ageng Pembangunan Fakultas Ekonomi dan Bisnis"
30102620,"Fakultas Ilmu Keguruan dan Pendidikan","Jurusan Ilmu Pendidikan Fakultas Keguruan dan Imu Pendidikan","Prodi S1 Pendidikan Luar Sekolah 3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Riau","Fakultas Jurusan Ilmu Pendidikan"
30102620,"Fakultas Ilmu Keguruan dan Pendidikan","Jurusan Ilmu Pendidikan Fakultas Keguruan dan Imu Pendidikan","Prodi S1 Pendidikan Luar Sekolah 3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Riau","Fakultas Jurusan Ilmu Pendidikan"
30102620,"Fakultas Ilmu Keguruan dan Pendidikan","Jurusan Ilmu Pendidikan Fakultas Keguruan dan Imu Pendidikan","Prodi S1 Pendidikan Luar Sekolah 3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Riau","Fakultas Jurusan Ilmu Pendidikan"
30102620,"Fakultas Ilmu Keguruan dan Pendidikan","Jurusan Ilmu Pendidikan Fakultas Keguruan dan Imu Pendidikan","Prodi S1 Pendidikan Luar Sekolah 3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Riau","Fakultas Jurusan Ilmu Pendidikan"
30102623,NULL,NULL,"Universitas Halu Oleo","Fakultas Peternakan","Jurusan S1 Peternakan Fakultas Peternakan",NULL
30102623,NULL,NULL,"Universitas Halu Oleo","Fakultas Peternakan","Jurusan S1 Peternakan Fakultas Peternakan",NULL
30102624,"Fakultas Ilmu Sosial dan Hukum","Jurusan S1 Pendidikan Pancasila dan Kewarganegaraan Fakultas Ilmu Sosial dan Hukum","Prodi S1 2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Negeri Manado","Pendidikan Pancasila dan Kewarganegaraan Jurusan Pendidikan Pancasila dan Kewarganegaraan Fakultas Ilmu Sosial dan Hukum"
